Service_ID,Resource_ID,Assigned,Normalized_KPI,Normalized_KVI,Weighted_Sum_KPI,Weighted_Sum_KVI,Min_KPI,Min_KVI,KPI_Service,KVI_Service,KPI_Resource,KVI_Resource
0,34,1,[0.98885396 0.34883721 1.        ],0,0.6721893963059213,0.283230691556368,0,0,"[0.002, 70.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
1,76,1,[1. 1. 1.],0,1.0,0.8664314576117137,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,77,1,[0.99133141 0.31707317 0.71428571],0,0.5710885810474337,0.2390963235588779,0,0,"[1.0, 100.0, 30.0]",[],"[0.4, 110.0, 20.0]",[]
3,64,1,[1. 1. 1.],0,1.0,0.8747934258460439,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,10,1,[0.98885396 0.34883721 1.        ],0,0.6721893963059213,0.3047248459716986,0,0,"[0.002, 70.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
5,12,1,[1. 1. 1.],0,1.0,0.8660479281168993,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,79,1,[0.98244054 0.19512195 0.71428571],0,0.508334798364019,0.8495037782035231,0,0,"[1.0, 100.0, 30.0]",[],"[0.8, 85.0, 20.0]",[]
7,14,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.26885668188216094,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
7,14,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.26885668188216094,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
7,14,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.26885668188216094,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
0,34,1,[0.98885396 0.34883721 1.        ],0,0.6721893963059213,0.283230691556368,0,0,"[0.002, 70.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
1,76,1,[1. 1. 1.],0,1.0,0.8664314576117137,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,77,1,[0.99133141 0.31707317 0.71428571],0,0.5710885810474337,0.2390963235588779,0,0,"[1.0, 100.0, 30.0]",[],"[0.4, 110.0, 20.0]",[]
3,64,1,[1. 1. 1.],0,1.0,0.8747934258460439,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,10,1,[0.98885396 0.34883721 1.        ],0,0.6721893963059213,0.3047248459716986,0,0,"[0.002, 70.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
5,12,1,[1. 1. 1.],0,1.0,0.8660479281168993,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,79,1,[0.98244054 0.19512195 0.71428571],0,0.508334798364019,0.8495037782035231,0,0,"[1.0, 100.0, 30.0]",[],"[0.8, 85.0, 20.0]",[]
7,14,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.26885668188216094,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
7,14,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.26885668188216094,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
7,14,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.26885668188216094,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
0,34,1,[0.98885396 0.34883721 1.        ],0,0.6721893963059213,0.283230691556368,0,0,"[0.002, 70.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
1,76,1,[1. 1. 1.],0,1.0,0.8664314576117137,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,77,1,[0.99133141 0.31707317 0.71428571],0,0.5710885810474337,0.2390963235588779,0,0,"[1.0, 100.0, 30.0]",[],"[0.4, 110.0, 20.0]",[]
3,64,1,[1. 1. 1.],0,1.0,0.8747934258460439,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,10,1,[0.98885396 0.34883721 1.        ],0,0.6721893963059213,0.3047248459716986,0,0,"[0.002, 70.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
5,12,1,[1. 1. 1.],0,1.0,0.8660479281168993,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,79,1,[0.98244054 0.19512195 0.71428571],0,0.508334798364019,0.8495037782035231,0,0,"[1.0, 100.0, 30.0]",[],"[0.8, 85.0, 20.0]",[]
7,14,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.26885668188216094,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
7,14,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.26885668188216094,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
7,14,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.26885668188216094,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
0,34,1,[0.98885396 0.34883721 1.        ],0,0.6721893963059213,0.283230691556368,0,0,"[0.002, 70.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
1,76,1,[1. 1. 1.],0,1.0,0.8664314576117137,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,77,1,[0.99133141 0.31707317 0.71428571],0,0.5710885810474337,0.2390963235588779,0,0,"[1.0, 100.0, 30.0]",[],"[0.4, 110.0, 20.0]",[]
3,64,1,[1. 1. 1.],0,1.0,0.8747934258460439,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,10,1,[0.98885396 0.34883721 1.        ],0,0.6721893963059213,0.3047248459716986,0,0,"[0.002, 70.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
