KPI_Totale,KVI_Totale
70.95027503691973,96.84448634875125
71.35622595284143,96.84437847085486
71.84789115447741,96.8400181872732
72.33955635611339,96.83470659312654
72.83122155774937,96.81173836598272
73.23717247367107,96.80305716174048
73.72883767530705,96.80139187204074
74.45502522143616,96.78102666924534
74.94669042307214,96.7590241064035
75.52406991042241,96.73810177382146
75.60978419613669,96.73452183992408
75.9300208263441,96.68348470928366
76.42168602798009,96.67466789654654
76.50639574418481,96.67462284579504
76.50639574418481,96.67462284579504
76.91335122961607,96.67349243872854
77.40501643125205,96.644847219919
77.40501643125205,96.644847219919
77.81096734717374,96.629738057592
77.89366792435936,96.60202958563796
77.89567706337847,96.60132930368287
78.30162797930016,96.58950455653104
79.11453438065311,96.57619736623944
79.6061995822891,96.55383819637356
80.09786478392508,96.53027496694486
80.58952998556106,96.48822234849942
81.08119518719704,96.4847484941281
81.2526237586256,96.46710602272762
81.33833804433989,96.46032269738606
82.15023987618328,96.41507111970006
82.23595416189757,96.40695629323343
82.6388913692906,96.3578301600994
82.80831080170006,96.30851604905877
83.04283314619319,96.2816165592292
83.12854743190746,96.27667551090494
83.621217203053,96.2680500995204
85.09621280796095,96.22971112294876
85.50216372388265,96.20162769597744
85.68918082139406,96.08200412003066
85.77389053759879,96.03771250475782
86.37816587579005,95.48513663217824
86.44527792689283,95.3931886574855
86.57347856702084,94.31851501165028
86.89398016734091,91.63183089706234
86.95808048740493,91.091609524628
87.04205060421276,88.4081689652486
87.27422381930563,87.74549225729955
87.36255220453282,85.458178045371
87.45376863051715,84.79749844188221
87.6588257396897,84.24344609660415
87.85548496830111,83.08605516041457
87.98368560842913,81.92694595710547
88.04778592849314,81.34588635319332
88.17598656862117,80.183767145369
88.24008688868518,79.60270754145685
88.36828752881321,78.41977461852981
88.49648816894124,77.20522790914991
88.56058848900526,76.61415466148519
88.68609605437207,75.42474956824294
88.74750329967489,74.83721779401556
88.87570393980292,73.6221273499847
88.93845772248633,73.02796853801455
89.06665836261436,71.8026217572845
89.19485900274239,70.57727497655446
