Request_ID,Service_ID,Resource_ID,Assigned,Normalized_KPI,Normalized_KVI,Weighted_Sum_KPI,Weighted_Sum_KVI,Min_KPI,Min_KVI,KPI_Service,KVI_Service,KPI_Resource,KVI_Resource
0,0,39,1,[0.97742212 0.23255814 1.        ],0,0.6117634938886194,0.9099999999999999,0,0,"[0.002, 70.0, 20.0]",[],"[0.8, 85.0, 20.0]",[]
1,1,56,1,[1. 1. 1.],0,1.0,0.8343197049116471,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
2,2,76,1,[1. 1. 1.],0,1.0,0.8716554461012894,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,3,24,1,[1. 1. 1.],0,1.0,0.82,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
4,4,4,1,[1. 1. 1.],0,1.0,0.8895841158291384,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
5,5,60,1,[1. 1. 1.],0,1.0,0.8513540471914649,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
6,6,4,1,[1. 1. 1.],0,1.0,0.8493452290484452,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
7,7,16,1,[1. 1. 1.],0,1.0,0.8924016650179395,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
8,7,39,1,[0.98419684 0.175      0.75      ],0,0.5093393678735747,0.9099999999999999,0,0,"[10.0, 250.0, 40.0]",[],"[0.8, 85.0, 20.0]",[]
9,7,24,1,[1. 1. 1.],0,1.0,0.82,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
10,0,48,1,[1. 1. 1.],0,1.0,0.9349740817242308,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
11,1,60,1,[1. 1. 1.],0,1.0,0.8513540471914649,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
12,2,28,1,[1. 1. 1.],0,1.0,0.8472753212271324,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
13,3,39,1,[0.98419684 0.175      0.75      ],0,0.5093393678735747,0.9099999999999999,0,0,"[10.0, 250.0, 40.0]",[],"[0.8, 85.0, 20.0]",[]
14,4,39,1,[0.97742212 0.23255814 1.        ],0,0.6117634938886194,0.9099999999999999,0,0,"[0.002, 70.0, 20.0]",[],"[0.8, 85.0, 20.0]",[]
15,5,39,1,[0.98244054 0.19512195 1.        ],0,0.5940490840783046,0.9099999999999999,0,0,"[0.5, 100.0, 20.0]",[],"[0.8, 85.0, 20.0]",[]
16,6,12,1,[1. 1. 1.],0,1.0,0.848821927098341,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
17,7,39,1,[0.98419684 0.175      0.75      ],0,0.5093393678735747,0.9099999999999999,0,0,"[10.0, 250.0, 40.0]",[],"[0.8, 85.0, 20.0]",[]
18,7,51,1,[0.98419684 0.175      0.75      ],0,0.5093393678735747,0.8956246326134089,0,0,"[10.0, 250.0, 40.0]",[],"[0.8, 85.0, 20.0]",[]
