Request_ID,Service_ID,Resource_ID,Assigned,Normalized_KPI,Normalized_KVI,Weighted_Sum_KPI,Weighted_Sum_KVI,Min_KPI,Min_KVI,KPI_Service,KVI_Service,KPI_Resource,KVI_Resource
0,0,8,1,[1. 1. 1.],0,1.0,0.8686475233736413,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
1,1,1,1,[0.99133141 0.31707317 1.        ],0,0.6568028667617194,0.2252083774782552,0,0,"[0.5, 100.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
2,2,12,1,[1. 1. 1.],0,1.0,0.832597077230734,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
3,3,18,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.2730873917225331,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
4,4,68,1,[1. 1. 1.],0,1.0,0.8582033103559269,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
5,5,58,1,[0.99133141 0.31707317 1.        ],0,0.6568028667617194,0.27364590723673954,0,0,"[0.5, 100.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
6,6,20,1,[1. 1. 1.],0,1.0,0.8419957786513026,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
7,7,61,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.2341190283820952,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
8,7,10,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.29248552006300443,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
9,7,10,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.29248552006300443,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
10,0,76,1,[1. 1. 1.],0,1.0,0.884147183813637,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
11,1,2,1,[0.99133141 0.31707317 1.        ],0,0.6568028667617194,0.2445709411302085,0,0,"[0.5, 100.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
12,2,32,1,[1. 1. 1.],0,1.0,0.8552641930781066,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
13,3,10,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.29248552006300443,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
14,4,36,1,[1. 1. 1.],0,1.0,0.9164650254146401,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
15,5,74,1,[0.99133141 0.31707317 1.        ],0,0.6568028667617194,0.28358738330691013,0,0,"[0.5, 100.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
16,6,52,1,[1. 1. 1.],0,1.0,0.8943219823005023,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
17,7,69,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.19157588847012208,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
18,7,69,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.19157588847012208,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
19,7,61,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.2341190283820952,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
20,0,76,1,[1. 1. 1.],0,1.0,0.884147183813637,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
21,1,4,1,[1. 1. 1.],0,1.0,0.865294388126153,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
22,2,48,1,[1. 1. 1.],0,1.0,0.84436027890623,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
