Request_ID,Service_ID,Resource_ID,Assigned,Normalized_KPI,Normalized_KVI,Weighted_Sum_KPI,Weighted_Sum_KVI,Min_KPI,Min_KVI,KPI_Service,KVI_Service,KPI_Resource,KVI_Resource
68,7,5,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.24515762472025898,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
69,7,38,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.3559241692480185,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
70,0,36,1,[1. 1. 1.],0,1.0,0.8791893485827735,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
71,1,42,1,[0.99133141 0.31707317 1.        ],0,0.6568028667617194,0.3096270830296808,0,0,"[0.5, 100.0, 20.0]",[],"[0.4, 110.0, 20.0]",[]
72,2,16,1,[1. 1. 1.],0,1.0,0.8071125427766069,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
73,3,38,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.3559241692480185,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
74,4,8,1,[1. 1. 1.],0,1.0,0.8674611385104841,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
75,5,40,1,[1. 1. 1.],0,1.0,0.8209867517706265,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
76,6,28,1,[1. 1. 1.],0,1.0,0.8883631925071656,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
77,7,4,1,[1. 1. 1.],0,1.0,0.8195558576143829,0,0,"[10.0, 250.0, 40.0]",[],"[0.01, 250.0, 10.0]",[]
78,7,26,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.3433327049821874,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
79,7,62,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.3967478358666653,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
80,0,76,1,[1. 1. 1.],0,1.0,0.7694087444595096,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
81,1,56,1,[1. 1. 1.],0,1.0,0.8110611837340113,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
82,2,40,1,[1. 1. 1.],0,1.0,0.8209867517706265,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
83,3,78,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.4015946415586572,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
84,4,44,1,[1. 1. 1.],0,1.0,0.7756862809248154,0,0,"[0.002, 70.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
85,5,36,1,[1. 1. 1.],0,1.0,0.8498151309902906,0,0,"[0.5, 100.0, 20.0]",[],"[0.01, 250.0, 10.0]",[]
86,6,72,1,[1. 1. 1.],0,1.0,0.9079961805546125,0,0,"[1.0, 100.0, 30.0]",[],"[0.01, 250.0, 10.0]",[]
87,7,26,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.3433327049821874,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
88,7,41,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.25537381237662604,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
89,7,30,1,[0.99219844 0.3        0.75      ],0,0.5734396879375876,0.34899075381026484,0,0,"[10.0, 250.0, 40.0]",[],"[0.4, 110.0, 20.0]",[]
